affiliated_committee_name,candidate_ids,committee_id,committee_type,committee_type_full,cycles,designation,designation_full,filing_frequency,first_f1_date,first_file_date,last_f1_date,last_file_date,name,organization_type,organization_type_full,party,party_full,sponsor_candidate_ids,sponsor_candidate_list,state,treasurer_name
NONE,['P00008052'],C00684373,P,Presidential,"[2018, 2020, 2022]",P,Principal campaign committee,A,2018-08-03,2018-08-03,2018-08-03,2021-02-01,:,,,W,WRITE-IN,,[],MA,"TEIXEIRA, RASHARNDA SHELINE MISS"
,['P20001954'],C00462390,P,Presidential,"[2010, 2012, 2014, 2016]",P,Principal campaign committee,A,2009-05-28,2009-05-28,2009-06-04,2015-08-10,007 GO GODWIN COMMITTEE,,,DEM,DEMOCRATIC PARTY,,[],VA,EDEAN BUNDICK
MORRISON,[],C00886879,N,PAC - Nonqualified,[2024],D,Leadership PAC,Q,2024-08-20,2024-08-20,2024-08-20,2024-08-20,10000 LAKES PAC,,,,,['H4MN03118'],"[{'sponsor_candidate_id': 'H4MN03118', 'sponsor_candidate_name': 'MORRISON, KELLY LOUISE'}]",MN,"MOORE, TRACIE"
,['S8MN00438'],C00555748,N,PAC - Nonqualified,[2014],J,Joint fundraising committee,T,2014-01-28,2014-01-28,2014-01-28,2014-12-18,"10,000 LAKES VICTORY 2014",,,,,,[],DC,ANGELIQUE HARRIS
NONE,[],C00877886,O,Super PAC (Independent Expenditure-Only),[2024],U,Unauthorized,Q,2024-05-02,2024-05-02,2024-05-02,2024-07-16,1000 WOMEN STRONG PAC,,,,,,[],FL,"GREEN, SHELBY"
NONE,[],C00831172,V,Hybrid PAC (with Non-Contribution Account) - Nonqualified,[2024],U,Unauthorized,T,2023-01-11,2023-01-11,2023-09-27,2024-02-22,100-40 PAC,,,,,,[],VA,"HOEFLICH-NICKELS, JEFFREY K"
100 BLACKMEN OF NEW JERSEY INC,[],C00239533,N,PAC - Nonqualified,"[1990, 1992, 1994, 1996, 1998]",U,Unauthorized,A,1989-11-20,1989-11-20,1990-02-01,1997-03-19,100 BLACK MEN OF NEW JERSEY INC POLITICAL ACTION COMMITTEE,C,Corporation,,,,[],NJ,RAYMOND L SCOTT CPA
"""NONE""",[],C00358796,N,PAC - Nonqualified,"[2000, 2002, 2004, 2006, 2008, 2010]",U,Unauthorized,T,2000-06-12,2000-06-12,2007-03-13,2009-10-07,100 PRO LIFE PAC,,,,,,[],PA,ALICE CARR
NONE,[],C00724070,V,Hybrid PAC (with Non-Contribution Account) - Nonqualified,"[2020, 2022, 2024]",U,Unauthorized,M,2019-10-22,2019-10-22,2021-06-22,2024-09-19,1031 PAC,,,,,,[],DC,"HORAN, WILLIAM V."
NONE,[],C00563023,O,Super PAC (Independent Expenditure-Only),[2014],U,Unauthorized,T,2014-05-12,2014-05-12,2014-05-16,2014-06-16,10 ^ 9+,,,,,,[],CA,RANDI M WILLIS
DEMOCRATIC PARTY OF VIRGINIA,['H6VA10183'],C00429613,Q,PAC - Qualified,"[2006, 2008]",J,Joint fundraising committee,T,2006-10-13,2006-10-13,2006-10-13,2007-11-06,10TH CD VICTORY FUND,,,DEM,DEMOCRATIC PARTY,,[],VA,JAMES TURPIN
